Project GID,Task GID,Task Name,Due On,Custom Field GID,Custom Field Name,Custom Field Value
1203157790092145,1203166149884314,ID Property,2024-04-05,1203157295353568,CIP-Milestone,*
1203157790092145,1203166149884314,ID Property,2024-04-05,1203161484164638,CIP-Team,Land Acq
1203157790092145,1203166149884314,ID Property,2024-04-05,1203157192117430,CIP-Actual Date,2024-04-30T00:00:00.000Z
1203157790092145,1203166149884314,ID Property,2024-04-05,1203157194729756,CIP-Line ID,P1000.C
1203157790092145,1203166149951566,GLC Approval,2024-04-12,1203157295353568,CIP-Milestone,*
1203157790092145,1203166149951566,GLC Approval,2024-04-12,1203161484164638,CIP-Team,Management
1203157790092145,1203166149951566,GLC Approval,2024-04-12,1203157192117430,CIP-Actual Date,2024-04-30T00:00:00.000Z
1203157790092145,1203166149951566,GLC Approval,2024-04-12,1203157194729756,CIP-Line ID,P1002.C
1203157790092145,1203166149971293,Land Committee Approval,2024-04-19,1203157295353568,CIP-Milestone,*
1203157790092145,1203166149971293,Land Committee Approval,2024-04-19,1203161484164638,CIP-Team,Land Acq
1203157790092145,1203166149971293,Land Committee Approval,2024-04-19,1203157192117430,CIP-Actual Date,2024-04-30T00:00:00.000Z
1203157790092145,1203166149971293,Land Committee Approval,2024-04-19,1203157194729756,CIP-Line ID,P1003.C
1203157790092145,1203166150007268,Design Review/AQ Review,2024-04-26,1203157295353568,CIP-Milestone,*
1203157790092145,1203166150007268,Design Review/AQ Review,2024-04-26,1203161484164638,CIP-Team,Architecture
1203157790092145,1203166150007268,Design Review/AQ Review,2024-04-26,1203157192117430,CIP-Actual Date,2024-04-30T00:00:00.000Z
1203157790092145,1203166150007268,Design Review/AQ Review,2024-04-26,1203157194729756,CIP-Line ID,P1084.C
1203157790092145,1203166150033556,Design Review Go,2024-05-03,1203157295353568,CIP-Milestone,*
1203157790092145,1203166150033556,Design Review Go,2024-05-03,1203161484164638,CIP-Team,Architecture
1203157790092145,1203166150033556,Design Review Go,2024-05-03,1203157192117430,CIP-Actual Date,2024-05-31T00:00:00.000Z
1203157790092145,1203166150033556,Design Review Go,2024-05-03,1203157194729756,CIP-Line ID,P1004.C
1203157790092145,1203166235195819,Architectural DTO,2024-05-10,1203157295353568,CIP-Milestone,*
1203157790092145,1203166235195819,Architectural DTO,2024-05-10,1203161484164638,CIP-Team,Architecture
1203157790092145,1203166235195819,Architectural DTO,2024-05-10,1203157192117430,CIP-Actual Date,2024-05-31T00:00:00.000Z
1203157790092145,1203166235195819,Architectural DTO,2024-05-10,1203157194729756,CIP-Line ID,P1055.C
1203157790092145,1203166235214616,Community Set-up & Purchasing Complete & Validated (12 wks after DTO),2024-05-21,1203157295353568,CIP-Milestone,*
1203157790092145,1203166235214616,Community Set-up & Purchasing Complete & Validated (12 wks after DTO),2024-05-21,1203161484164638,CIP-Team,Purchasing
1203157790092145,1203166235214616,Community Set-up & Purchasing Complete & Validated (12 wks after DTO),2024-05-21,1203157192117430,CIP-Actual Date,2024-05-31T00:00:00.000Z
1203157790092145,1203166235214616,Community Set-up & Purchasing Complete & Validated (12 wks after DTO),2024-05-21,1203157194729756,CIP-Line ID,P1098.C
1203157790092145,1203166235235824,Submit for Model Permit,2024-05-24,1203157295353568,CIP-Milestone,*
1203157790092145,1203166235235824,Submit for Model Permit,2024-05-24,1203161484164638,CIP-Team,Construction
1203157790092145,1203166235235824,Submit for Model Permit,2024-05-24,1203157192117430,CIP-Actual Date,2024-05-31T00:00:00.000Z
1203157790092145,1203166235235824,Submit for Model Permit,2024-05-24,1203157194729756,CIP-Line ID,P1066.C
1203157790092145,1203166235247899,Plan Approval,2024-05-31,1203157295353568,CIP-Milestone,*
1203157790092145,1203166235247899,Plan Approval,2024-05-31,1203161484164638,CIP-Team,Architecture
1203157790092145,1203166235247899,Plan Approval,2024-05-31,1203157192117430,CIP-Actual Date,2024-05-31T00:00:00.000Z
1203157790092145,1203166235247899,Plan Approval,2024-05-31,1203157194729756,CIP-Line ID,P1010.C
1203157790092145,1203166235267534,Begin Bid Process,2024-06-07,1203157295353568,CIP-Milestone,*
1203157790092145,1203166235267534,Begin Bid Process,2024-06-07,1203161484164638,CIP-Team,Purchasing
1203157790092145,1203166235267534,Begin Bid Process,2024-06-07,1203157192117430,CIP-Actual Date,2024-07-19T00:00:00.000Z
1203157790092145,1203166235267534,Begin Bid Process,2024-06-07,1203157194729756,CIP-Line ID,P1011.C
1203157790092145,1203166178684859,Contract Signed,2024-06-14,1203157295353568,CIP-Milestone,*
1203157790092145,1203166178684859,Contract Signed,2024-06-14,1203161484164638,CIP-Team,Legal
1203157790092145,1203166178684859,Contract Signed,2024-06-14,1203157192117430,CIP-Actual Date,2024-07-19T00:00:00.000Z
1203157790092145,1203166178684859,Contract Signed,2024-06-14,1203157194729756,CIP-Line ID,P1083.C
1203157790092145,1203166178692652,LD Start,2024-06-21,1203157295353568,CIP-Milestone,*
1203157790092145,1203166178692652,LD Start,2024-06-21,1203161484164638,CIP-Team,Land Dev
1203157790092145,1203166178692652,LD Start,2024-06-21,1203157192117430,CIP-Actual Date,2024-07-19T00:00:00.000Z
1203157790092145,1203166178692652,LD Start,2024-06-21,1203157194729756,CIP-Line ID,P1086.C
1203157790092145,1203166178722793,Energize Site (Site Hot),2024-06-28,1203157295353568,CIP-Milestone,*
1203157790092145,1203166178722793,Energize Site (Site Hot),2024-06-28,1203161484164638,CIP-Team,Land Dev
1203157790092145,1203166178722793,Energize Site (Site Hot),2024-06-28,1203157192117430,CIP-Actual Date,2024-07-19T00:00:00.000Z
1203157790092145,1203166178722793,Energize Site (Site Hot),2024-06-28,1203157194729756,CIP-Line ID,P1019.C
1203157790092145,1203166178750893,Model Start,2024-07-05,1203157295353568,CIP-Milestone,*
1203157790092145,1203166178750893,Model Start,2024-07-05,1203161484164638,CIP-Team,Construction
1203157790092145,1203166178750893,Model Start,2024-07-05,1203157192117430,CIP-Actual Date,2024-07-19T00:00:00.000Z
1203157790092145,1203166178750893,Model Start,2024-07-05,1203157194729756,CIP-Line ID,P1030.C
1203157790092145,1203166178781411,Open for Sale,2024-07-12,1203157295353568,CIP-Milestone,*
1203157790092145,1203166178781411,Open for Sale,2024-07-12,1203161484164638,CIP-Team,Sales
1203157790092145,1203166178781411,Open for Sale,2024-07-12,1203157192117430,CIP-Actual Date,
1203157790092145,1203166178781411,Open for Sale,2024-07-12,1203157194729756,CIP-Line ID,P1029.C
1203157790092145,1203166151530164,First Lot Takedown/Open Escrow,2024-07-19,1203157295353568,CIP-Milestone,*
1203157790092145,1203166151530164,First Lot Takedown/Open Escrow,2024-07-19,1203161484164638,CIP-Team,Legal
1203157790092145,1203166151530164,First Lot Takedown/Open Escrow,2024-07-19,1203157192117430,CIP-Actual Date,
1203157790092145,1203166151530164,First Lot Takedown/Open Escrow,2024-07-19,1203157194729756,CIP-Line ID,P1091.C
1203157790092145,1203166151559398,Start Production,2024-07-26,1203157295353568,CIP-Milestone,*
1203157790092145,1203166151559398,Start Production,2024-07-26,1203161484164638,CIP-Team,Construction
1203157790092145,1203166151559398,Start Production,2024-07-26,1203157192117430,CIP-Actual Date,
1203157790092145,1203166151559398,Start Production,2024-07-26,1203157194729756,CIP-Line ID,P1032.C
1203157790092145,1203166151602081,1st Production Foundation Start,2024-08-02,1203157295353568,CIP-Milestone,*
1203157790092145,1203166151602081,1st Production Foundation Start,2024-08-02,1203161484164638,CIP-Team,Operations
1203157790092145,1203166151602081,1st Production Foundation Start,2024-08-02,1203157192117430,CIP-Actual Date,
1203157790092145,1203166151602081,1st Production Foundation Start,2024-08-02,1203157194729756,CIP-Line ID,P1103.C
